ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
3	"AT1G74560"	"NRP1"	chr1	-	28018137	28018194	28018165	28018194	28018002	28018050	3	22,24,19	1,0,2	26,42,23	3,2,2	127	99	0.0746443273024	0.120080004791	0.945,1.0,0.881	0.871,0.942,0.9	0.038
4	"AT1G52220"	"CURT1C"	chr1	-	19454377	19454697	19454380	19454697	19454186	19454273	4	0,1,0	1,2,4	1,0,0	0,0,1	102	99	1	1.0	0.0,0.327,0.0	1.0,NA,0.0	-0.391
10	"AT1G78870"	"UBC35"	chr1	+	29650928	29651018	29650928	29651015	29651315	29651374	10	3,5,8	1,2,3	3,1,5	12,7,14	102	99	1.02043366199e-05	1.92632885172e-05	0.744,0.708,0.721	0.195,0.122,0.257	0.533
12	"AT1G15860"	"AT1G15860"	chr1	+	5456303	5456437	5456303	5456410	5456503	5456569	12	12,11,10	0,2,2	0,1,0	8,7,9	126	99	0	0.0	1.0,0.812,0.797	0.0,0.101,0.0	0.836
13	"AT1G78510"	"SPS1"	chr1	-	29536972	29537417	29536976	29537417	29536697	29536822	13	1,1,2	3,2,5	5,3,2	4,3,5	103	99	0.258523307912	0.373646968467	0.243,0.325,0.278	0.546,0.49,0.278	-0.156
15	"AT1G07890"	"APX1"	chr1	+	2437677	2437833	2437677	2437741	2437992	2438123	15	10,7,6	90,64,65	17,19,13	6,3,5	191	99	0	0.0	0.054,0.054,0.046	0.595,0.767,0.574	-0.594
17	"AT1G32190"	"AT1G32190"	chr1	-	11594627	11594664	11594632	11594664	11594171	11594408	17	2,2,2	3,5,7	13,4,14	0,2,1	104	99	5.43881338855e-08	1.09480427755e-07	0.388,0.276,0.214	1.0,0.656,0.93	-0.569
20	"AT1G56280"	"ATDI19"	chr1	-	21074056	21074199	21074059	21074199	21073908	21073974	20	1,0,1	26,26,16	28,33,19	0,0,3	102	99	1	1.0	0.036,0.0,0.057	1.0,1.0,0.86	-0.922
28	"AT1G59750"	"ARF1"	chr1	+	21979383	21979619	21979383	21979423	21980383	21980450	28	7,5,7	19,18,21	27,20,33	3,3,2	295	99	0	0.0	0.11,0.085,0.101	0.751,0.691,0.847	-0.664
29	"AT1G59750"	"ARF1"	chr1	+	21982823	21982995	21982823	21982989	21983080	21983541	29	1,1,0	0,3,1	0,0,0	6,5,10	105	99	1	1.0	1.0,0.239,0.0	0.0,0.0,0.0	0.413
31	"AT1G63660"	"AT1G63660"	chr1	-	23604972	23605104	23604977	23605104	23604702	23604878	31	1,0,0	5,4,3	7,14,8	1,0,0	104	99	2.22044604925e-16	5.62715779604e-16	0.16,0.0,0.0	0.87,1.0,1.0	-0.903
33	"AT1G78620"	"AT1G78620"	chr1	-	29575308	29575794	29575335	29575794	29574727	29574981	33	5,6,7	3,1,0	3,4,3	3,2,3	126	99	0.0241178454336	0.0413129759742	0.567,0.825,1.0	0.44,0.611,0.44	0.3
36	"AT1G18270"	"AT1G18270"	chr1	-	6286737	6286917	6286797	6286917	6286590	6286659	36	3,6,5	0,0,1	0,0,1	3,0,2	159	99	1	1.0	1.0,1.0,0.757	0.0,NA,0.237	0.8
39	"AT1G03770"	"RING1B"	chr1	+	946893	947019	946893	947001	947122	947293	39	10,6,8	0,2,1	4,4,5	0,0,0	117	99	0.755778164545	0.954980804676	1.0,0.717,0.871	1.0,1.0,1.0	-0.137
40	"AT1G34780"	"APRL4"	chr1	-	12749649	12749837	12749736	12749837	12749441	12749566	40	18,13,15	2,1,0	4,3,4	10,5,11	186	99	4.98268093452e-13	1.15224496611e-12	0.827,0.874,1.0	0.176,0.242,0.162	0.707
41	"AT1G30240"	"AT1G30240"	chr1	-	10642747	10642875	10642753	10642875	10642404	10642673	41	2,4,1	13,18,14	24,30,27	8,4,5	105	99	0	0.0	0.127,0.173,0.063	0.739,0.876,0.836	-0.696
43	"AT1G33410"	"SAR1"	chr1	-	12110385	12110553	12110412	12110553	12109919	12110093	43	2,9,9	6,4,5	10,12,10	2,2,3	126	99	0.0164998907989	0.0287969792245	0.208,0.639,0.586	0.797,0.825,0.724	-0.304
49	"AT1G44940"	"AT1G44940"	chr1	+	16994154	16994185	16994154	16994170	16994473	16994495	49	93,113,95	14,22,15	32,48,47	53,88,63	114	99	0	0.0	0.852,0.817,0.846	0.344,0.321,0.393	0.486
51	"AT1G56100"	"AT1G56100"	chr1	-	20983757	20984058	20983761	20984058	20983279	20983668	51	2,0,2	52,42,44	4,3,0	1,0,0	103	99	1	1.0	0.036,0.0,0.042	0.794,1.0,NA	-0.871
56	"AT1G13860"	"QUL1"	chr1	-	4745792	4746540	4745872	4746540	4745575	4745711	56	3,2,1	5,6,7	28,19,20	2,2,0	179	99	2.91655588569e-13	6.82990935257e-13	0.249,0.156,0.073	0.886,0.84,1.0	-0.749
57	"AT1G35470"	"AT1G35470"	chr1	-	13052507	13052567	13052513	13052567	13052048	13052135	57	1,2,0	11,6,12	17,2,8	0,0,1	105	99	0	0.0	0.079,0.239,0.0	1.0,1.0,0.883	-0.855
62	"AT1G51690"	"PP2AB1"	chr1	+	19167361	19167568	19167361	19167565	19167960	19168052	62	9,8,13	6,4,10	7,8,6	8,7,7	102	99	0.242829692528	0.354989263489	0.593,0.66,0.558	0.459,0.526,0.454	0.124
65	"AT1G29120"	"AT1G29120"	chr1	+	10177613	10177784	10177613	10177782	10177860	10177958	65	0,0,1	26,45,34	0,0,0	40,35,35	101	99	1	1.0	0.0,0.0,0.028	0.0,0.0,0.0	0.009
67	"AT1G11170"	"AT1G11170"	chr1	+	3743579	3743667	3743579	3743633	3743793	3743886	67	4,2,1	0,0,1	1,0,0	0,1,3	133	99	4.20850961391e-06	8.02653895436e-06	1.0,1.0,0.427	1.0,0.0,0.0	0.476
74	"AT1G32410"	"AT1G32410"	chr1	+	11693831	11693925	11693831	11693921	11694367	11694496	74	11,5,7	37,22,20	5,12,5	32,32,48	103	99	0.291471329746	0.418001519403	0.222,0.179,0.252	0.131,0.265,0.091	0.055
75	"AT1G15110"	"PSS1"	chr1	+	5201592	5201685	5201592	5201681	5201780	5202175	75	5,8,6	9,13,12	3,1,2	8,16,4	103	99	0.0323389570337	0.0548872206535	0.348,0.372,0.325	0.265,0.057,0.325	0.133
85	"AT1G06570"	"PDS1"	chr1	-	2012296	2013545	2012303	2013545	2011884	2012189	85	0,0,0	1,2,4	5,3,7	0,0,0	106	99	1.11022302463e-15	2.70251657311e-15	0.0,0.0,0.0	1.0,1.0,1.0	-1.0
86	"AT1G34120"	"IP5P1"	chr1	+	12427194	12427257	12427194	12427245	12427375	12427445	86	52,62,41	0,0,0	1,3,1	33,24,19	111	99	0	0.0	1.0,1.0,1.0	0.026,0.1,0.045	0.943
87	"AT1G61140"	"EDA16"	chr1	-	22539749	22540040	22539776	22540040	22538538	22539665	87	0,0,0	7,8,6	0,0,1	7,10,5	126	99	1	1.0	0.0,0.0,0.0	0.0,0.0,0.136	-0.045
89	"AT1G48740"	"AT1G48740"	chr1	-	18024802	18024989	18024838	18024989	18024670	18024757	89	4,3,9	0,0,0	1,0,1	4,4,5	135	99	1	1.0	1.0,1.0,1.0	0.155,0.0,0.128	0.906
90	"AT1G67280"	"AT1G67280"	chr1	-	25190432	25190694	25190544	25190694	25190087	25190283	90	10,9,5	0,0,2	1,1,0	6,6,5	211	99	6.36501962248e-12	1.43601052458e-11	1.0,1.0,0.54	0.073,0.073,0.0	0.798
92	"AT1G50200"	"ALATS"	chr1	-	18592129	18592243	18592153	18592243	18591862	18592045	92	34,38,22	4,1,7	2,6,1	27,21,26	123	99	0	0.0	0.872,0.968,0.717	0.056,0.187,0.03	0.761
94	"AT1G01880"	"GEN1"	chr1	-	308396	308573	308399	308573	308147	308318	94	3,2,3	0,0,0	0,1,0	9,10,12	102	99	1.11022302463e-16	2.85265638273e-16	1.0,1.0,1.0	0.0,0.088,0.0	0.971
95	"AT1G76050"	"AT1G76050"	chr1	+	28541812	28542034	28541812	28542015	28542153	28542232	95	1,0,0	6,1,1	3,2,1	1,1,2	118	99	2.9960415835e-05	5.54267692948e-05	0.123,0.0,0.0	0.716,0.627,0.296	-0.505
96	"AT1G47600"	"TGG4"	chr1	+	17493896	17493928	17493896	17493925	17494021	17494118	96	18,14,15	3,1,3	1,1,0	4,5,7	102	99	1	1.0	0.853,0.931,0.829	0.195,0.163,0.0	0.752
120	"AT1G17110"	"UBP15"	chr1	-	5848199	5848339	5848211	5848339	5848030	5848119	120	7,9,10	3,5,14	9,12,8	6,7,5	111	99	0.602519396621	0.796186345535	0.675,0.616,0.389	0.572,0.605,0.588	-0.028
122	"AT1G67140"	"SWEETIE"	chr1	-	25102561	25102699	25102564	25102699	25102274	25102439	122	1,1,2	18,20,16	11,13,10	0,1,2	102	99	0	0.0	0.051,0.046,0.108	1.0,0.927,0.829	-0.85
135	"AT1G21350"	"AT1G21350"	chr1	-	7477331	7477418	7477335	7477418	7476944	7477126	135	33,44,36	2,1,1	2,1,2	33,25,42	103	99	0	0.0	0.941,0.977,0.972	0.055,0.037,0.044	0.918
136	"AT1G20020"	"LFNR2"	chr1	+	6943581	6943715	6943581	6943658	6943790	6943869	136	39,47,52	7,1,1	34,21,18	52,59,48	156	99	0	0.0	0.78,0.968,0.971	0.293,0.184,0.192	0.683
137	"AT1G23950"	"AT1G23950"	chr1	-	8470683	8470897	8470698	8470897	8470351	8470602	137	107,107,97	2,3,4	5,3,4	28,30,26	114	99	0	0.0	0.979,0.969,0.955	0.134,0.08,0.118	0.857
147	"AT1G55500"	"ECT4"	chr1	+	20722145	20722308	20722145	20722292	20722393	20722739	147	3,3,7	54,66,70	117,96,91	10,8,12	115	99	0	0.0	0.046,0.038,0.079	0.91,0.912,0.867	-0.842
150	"AT1G08600"	"ATRX"	chr1	+	2723823	2723957	2723823	2723938	2724074	2724133	150	22,15,17	1,0,0	3,0,1	15,14,15	118	99	0	0.0	0.949,1.0,1.0	0.144,0.0,0.053	0.917
151	"AT1G16560"	"AT1G16560"	chr1	+	5669159	5669413	5669159	5669409	5669492	5669689	151	0,1,0	4,6,8	0,0,0	5,5,3	103	99	1	1.0	0.0,0.138,0.0	0.0,0.0,0.0	0.046
154	"AT1G05550"	"AT1G05550"	chr1	-	1642581	1642662	1642585	1642662	1641649	1642373	154	24,19,14	0,0,0	0,0,0	12,17,16	103	99	0	0.0	1.0,1.0,1.0	0.0,0.0,0.0	1.0
163	"AT1G23970"	"AT1G23970"	chr1	-	8483090	8483304	8483105	8483304	8482758	8483009	163	5,8,3	0,0,1	1,1,2	6,6,7	114	99	1.37698741298e-11	3.03265085002e-11	1.0,1.0,0.723	0.126,0.126,0.199	0.757
171	"AT1G54650"	"AT1G54650"	chr1	-	20406721	20406921	20406727	20406921	20406593	20406643	171	16,14,18	3,1,3	5,6,4	17,10,13	105	99	1.37064803951e-11	3.03265085002e-11	0.834,0.93,0.85	0.217,0.361,0.225	0.604
174	"AT1G16270"	"AT1G16270"	chr1	+	5563086	5563364	5563086	5563200	5563717	5566376	174	4,5,6	0,0,0	0,1,0	0,0,1	263	99	1	1.0	1.0,1.0,1.0	NA,1.0,0.0	0.5
180	"AT1G61850"	"PLA1"	chr1	+	22859359	22859561	22859359	22859555	22859652	22859789	180	5,11,7	18,6,15	4,8,3	9,15,24	105	99	0.18555259399	0.279083169822	0.208,0.634,0.306	0.295,0.335,0.105	0.138
193	"AT1G45191"	"BGLU1"	chr1	+	17117993	17118217	17117993	17118202	17118336	17118411	193	0,2,0	4,4,5	6,7,0	0,0,0	114	99	1	1.0	0.0,0.303,0.0	1.0,1.0,NA	-0.899
194	"AT1G16890"	"UBC36"	chr1	-	5778034	5778089	5778061	5778089	5777851	5777938	194	2,4,0	14,13,27	23,28,22	7,2,1	126	99	0	0.0	0.101,0.195,0.0	0.721,0.917,0.945	-0.762
198	"AT1G16610"	"SR45"	chr1	-	5676727	5676877	5676760	5676877	5676428	5676495	198	0,0,0	25,22,18	0,1,0	6,7,6	132	99	1	1.0	0.0,0.0,0.0	0.0,0.097,0.0	-0.032
