intron	logef	Col0	Prmt5	deltapsi
chr1:9513597:9513772:clu_1000_NA	0.412142570891504	0.0304841967692048	0.0669006358928924	0.0364164391236876
chr1:9513600:9513772:clu_1000_NA	-0.412142570891504	0.969515803230795	0.933099364107107	-0.0364164391236876
chr1:9558882:9558970:clu_1001_NA	0.928566467961311	0.893605201552005	0.981751230891939	0.0881460293399338
chr1:9558886:9558970:clu_1001_NA	-0.928566467961311	0.106394798447995	0.0182487691080614	-0.0881460293399338
chr1:9560597:9560707:clu_1002_NA	-0.648368126923877	0.474283776587348	0.197864991819727	-0.276418784767621
chr1:9560620:9560707:clu_1002_NA	0.648368126923877	0.525716223412651	0.802135008180273	0.276418784767621
chr1:9561439:9561525:clu_1003_NA	0.137707140417001	0.959441376455841	0.968901912946629	0.00946053649078793
chr1:9561439:9561610:clu_1003_NA	-0.137707140417001	0.0405586235441589	0.031098087053371	-0.00946053649078794
chr1:9602725:9602815:clu_1004_NA	0.067393399419646	0.870938473972407	0.885346940639146	0.0144084666667396
chr1:9602725:9602820:clu_1004_NA	-0.067393399419646	0.129061526027593	0.114653059360854	-0.0144084666667395
chr1:9611876:9612590:clu_1005_NA	-0.0317809634268653	0.145749844542501	0.138012769745035	-0.0077370747974656
chr1:9612429:9612590:clu_1005_NA	0.0317809634268653	0.854250155457499	0.861987230254965	0.00773707479746566
chr1:9727027:9727377:clu_1006_NA	0.0599578039799541	0.787240853582401	0.806634596464292	0.0193937428818911
chr1:9727161:9727377:clu_1006_NA	-0.0599578039799541	0.212759146417599	0.193365403535708	-0.0193937428818911
chr1:9796135:9796246:clu_1007_NA	-0.279781143894349	0.945623339568614	0.908574048151688	-0.0370492914169261
chr1:9796135:9796253:clu_1007_NA	0.279781143894349	0.0543766604313859	0.0914259518483121	0.0370492914169262
chr1:9797329:9797408:clu_1008_NA	-0.0414664446351643	0.126444818073594	0.117564539547091	-0.00888027852650229
chr1:9797329:9797426:clu_1008_NA	0.0414664446351643	0.873555181926406	0.882435460452909	0.00888027852650219
chr1:9797471:9797569:clu_1009_NA	-0.114118846855997	0.87665984192364	0.849787493196098	-0.0268723487275422
chr1:9797471:9797591:clu_1009_NA	0.114118846855997	0.12334015807636	0.150212506803902	0.0268723487275422
chr1:9797883:9797975:clu_1010_NA	0.0469520611211218	0.401917452140376	0.449209978152721	0.047292526012345
chr1:9797883:9798142:clu_1010_NA	0.126339665788809	0.0461922748677265	0.0558932649666483	0.00970099009892181
