intron	logef	A	B	deltapsi
chr1:35471:35567:clu_1_NA	0.0565344545760087	0.157126203818696	0.172687484503837	0.0155612806851405
chr1:35474:35567:clu_1_NA	-0.0565344545760087	0.842873796181304	0.827312515496163	-0.0155612806851404
chr1:2411929:2412194:clu_102_NA	2.04820195561889	0.0365395518061079	0.487995105999682	0.451455554193574
chr1:2411929:2412610:clu_102_NA	-1.149757144026	0.0185288121128247	0.0101075020415616	-0.00842131007126309
chr1:2412219:2412548:clu_102_NA	2.26841740305885	0.0261466530607453	0.435217859351413	0.409071206290668
chr1:2412219:2412610:clu_102_NA	-3.16686221465174	0.918784983020322	0.0666795326073433	-0.852105450412979
chr1:2437555:2437678:clu_104_NA	-1.52346694751771	0.622295839773487	0.121033108291894	-0.501262731481593
chr1:2437555:2437681:clu_104_NA	1.83735375406059	0.00599011847295195	0.0335682411486174	0.0275781226756654
chr1:2437555:2437993:clu_104_NA	4.25651403609116	0.0123157071713293	0.775497656905724	0.763181949734395
chr1:2437741:2437993:clu_104_NA	-1.52346694758473	0.323670514937237	0.0629521298052159	-0.260718385132021
chr1:2437751:2437993:clu_104_NA	-1.52346694758276	0.0172847797095669	0.00336179431155278	-0.0139229853980141
chr1:2437833:2437993:clu_104_NA	-1.52346694746654	0.0184430399354272	0.00358706953699551	-0.0148559703984317
chr1:2464814:2464913:clu_106_NA	1.4922649170932	0.0396916779943132	0.276961166832732	0.237269488838418
chr1:2464814:2465410:clu_106_NA	-3.1727336982063	0.881342463573896	0.0579269895968292	-0.823415473977067
chr1:2465076:2465410:clu_106_NA	1.6804687811131	0.0789658584317905	0.665111843570439	0.586145985138649
chr1:2467212:2467633:clu_107_NA	-0.266888310641619	0.653936322263626	0.525630156034408	-0.128306166229218
chr1:2467212:2467638:clu_107_NA	0.266888310641619	0.346063677736374	0.474369843965592	0.128306166229218
chr1:2497998:2498480:clu_109_NA	2.36215719548228	0.0784650034866841	0.905588861304833	0.827123857818149
chr1:2497998:2498484:clu_109_NA	-2.36215719548228	0.921534996513316	0.0944111386951667	-0.827123857818149
chr1:2540484:2540588:clu_111_NA	0.279355774605038	0.356664677319176	0.492211011375945	0.135546334056769
chr1:2540484:2540972:clu_111_NA	-0.279355774605038	0.643335322680824	0.507788988624055	-0.135546334056769
chr1:2541862:2542013:clu_112_NA	-0.351181915088518	0.713788409817289	0.552676645236989	-0.161111764580301
chr1:2541862:2542217:clu_112_NA	0.351181915088518	0.286211590182711	0.447323354763011	0.161111764580301
chr1:2619292:2619397:clu_114_NA	1.68333429414089	0.234647290023463	0.898841243303687	0.664193953280224
chr1:2619292:2619406:clu_114_NA	-1.68333429414089	0.765352709976537	0.101158756696313	-0.664193953280224
chr1:2744491:2744614:clu_121_NA	2.37953282507808	0.0402779266564795	0.830366297958478	0.790088371301998
chr1:2744533:2744614:clu_121_NA	-2.37953282507808	0.95972207334352	0.169633702041522	-0.790088371301998
chr1:2745693:2746404:clu_122_NA	-8.6762384446247	0.860173830870487	1.79024606766881e-07	-0.86017365184588
chr1:2745702:2746404:clu_122_NA	8.6762384446247	0.139826169129513	0.999999820975393	0.86017365184588
chr1:2746477:2746630:clu_123_NA	-0.21254423594822	0.0341157415427172	0.0225684891222049	-0.0115472524205123
chr1:2746477:2747890:clu_123_NA	0.21254423594822	0.965884258457283	0.977431510877795	0.0115472524205122
chr1:2801138:2801268:clu_126_NA	0.136346940534742	0.578647947025838	0.643346657354716	0.0646987103288784
chr1:2801160:2801268:clu_126_NA	-0.136346940534742	0.421352052974162	0.356653342645284	-0.0646987103288785
chr1:2827191:2827680:clu_128_NA	-1.42453588832289	0.699954822378889	0.118994243860901	-0.580960578517988
chr1:2827191:2827689:clu_128_NA	1.42453588832289	0.300045177621111	0.881005756139099	0.580960578517988
chr1:2852603:2852716:clu_129_NA	-2.91354247697619	0.930093398965375	0.0377256259904039	-0.892367772974971
